/Library/Java/JavaVirtualMachines/jdk-18.jdk/Contents/Home/bin/java -javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=65147:/Applications/IntelliJ IDEA CE.app/Contents/bin -Dfile.encoding=UTF-8 -classpath /Users/will/Documents/middlesex/CST3170_AI/UCI_OPTICAL_RECOGNITION/out/production/UCI_OPTICAL_RECOGNITION Main
Starting data loading...
Images Train size: 2810
Images Test size: 2810
Success rate after round 74: 0.966548
Success rate after round 75: 0.96761566
Success rate after round 76: 0.9669039
Success rate after round 77: 0.96725976
Success rate after round 78: 0.9669039
Success rate after round 79: 0.9658363
Success rate after round 80: 0.9669039
Success rate after round 81: 0.966548
Success rate after round 82: 0.966548
Success rate after round 83: 0.9683274
Success rate after round 84: 0.96725976
Success rate after round 85: 0.9669039
Success rate after round 86: 0.9686833
Success rate after round 87: 0.96725976
Success rate after round 88: 0.966548
Success rate after round 89: 0.9686833
Success rate after round 90: 0.96761566
Success rate after round 91: 0.9686833
Success rate after round 92: 0.9697509
Success rate after round 93: 0.96903914
Success rate after round 94: 0.9686833
Success rate after round 95: 0.96370107
Success rate after round 96: 0.9686833
Success rate after round 97: 0.96939504
Success rate after round 98: 0.96761566
Success rate after round 99: 0.9679715
Success rate after round 100: 0.97117436
Success rate after round 101: 0.9683274
Success rate after round 102: 0.9708185
Success rate after round 103: 0.9701068
Success rate after round 104: 0.9697509
Success rate after round 105: 0.9697509
Success rate after round 106: 0.9686833
Success rate after round 107: 0.9704626
Success rate after round 108: 0.9704626
Success rate after round 109: 0.97117436
Success rate after round 110: 0.9701068
Success rate after round 111: 0.9701068
Success rate after round 112: 0.96939504
Success rate after round 113: 0.9686833
Success rate after round 114: 0.9701068
Success rate after round 115: 0.97117436
Success rate after round 116: 0.9708185
Success rate after round 117: 0.97153026
Success rate after round 118: 0.9686833
Success rate after round 119: 0.97117436
Success rate after round 120: 0.97153026
Success rate after round 121: 0.97153026
Success rate after round 122: 0.9718861
Success rate after round 123: 0.9697509
Success rate after round 124: 0.97117436
Success rate after round 125: 0.9718861
Success rate after round 126: 0.97295374
Success rate after round 127: 0.972242
Success rate after round 128: 0.97259784
Success rate after round 129: 0.97117436
Success rate after round 130: 0.9701068
Success rate after round 131: 0.97153026
Success rate after round 132: 0.9718861
Success rate after round 133: 0.97330964
Success rate after round 134: 0.97117436
Success rate after round 135: 0.9736655
Success rate after round 136: 0.9718861
Success rate after round 137: 0.97259784
Success rate after round 138: 0.9736655
Success rate after round 139: 0.97259784
Success rate after round 140: 0.97259784
Success rate after round 141: 0.972242
Success rate after round 142: 0.9718861
Success rate after round 143: 0.9704626
Success rate after round 144: 0.97295374
Success rate after round 145: 0.972242
Success rate after round 146: 0.972242
Success rate after round 147: 0.97259784
Success rate after round 148: 0.97330964
Success rate after round 149: 0.972242
Success rate after round 150: 0.97295374
Success rate after round 151: 0.97330964
Success rate after round 152: 0.97259784
Success rate after round 153: 0.9743772
Success rate after round 154: 0.972242
Success rate after round 155: 0.9736655
Success rate after round 156: 0.972242
Success rate after round 157: 0.9736655
Success rate after round 158: 0.97330964
Success rate after round 159: 0.97330964
Success rate after round 160: 0.9743772
Success rate after round 161: 0.9736655
Success rate after round 162: 0.9736655
Success rate after round 163: 0.97117436
Success rate after round 164: 0.9743772
Success rate after round 165: 0.97508895
Success rate after round 166: 0.9736655
Success rate after round 167: 0.97330964
Success rate after round 168: 0.97259784
Success rate after round 169: 0.9747331
Success rate after round 170: 0.9736655
Success rate after round 171: 0.9736655
Success rate after round 172: 0.9747331
Success rate after round 173: 0.9740214
Success rate after round 174: 0.97295374
Success rate after round 175: 0.9758007
Success rate after round 176: 0.9758007
Success rate after round 177: 0.9747331
Success rate after round 178: 0.97508895
Success rate after round 179: 0.9740214
Success rate after round 180: 0.97295374
Success rate after round 181: 0.97651243
Success rate after round 182: 0.97508895
Success rate after round 183: 0.9747331
Success rate after round 184: 0.9740214
Success rate after round 185: 0.97295374
Success rate after round 186: 0.9740214
Success rate after round 187: 0.97508895
Success rate after round 188: 0.97544485
Success rate after round 189: 0.9743772
Success rate after round 190: 0.97544485
Success rate after round 191: 0.97544485
Success rate after round 192: 0.97508895
Success rate after round 193: 0.9747331
Success rate after round 194: 0.9758007
Success rate after round 195: 0.9743772
Success rate after round 196: 0.97544485
Success rate after round 197: 0.97508895
Success rate after round 198: 0.97544485
Success rate after round 199: 0.97508895

Process finished with exit code 0
