/Library/Java/JavaVirtualMachines/jdk-18.jdk/Contents/Home/bin/java -javaagent:/Applications/IntelliJ IDEA CE.app/Contents/lib/idea_rt.jar=65175:/Applications/IntelliJ IDEA CE.app/Contents/bin -Dfile.encoding=UTF-8 -classpath /Users/will/Documents/middlesex/CST3170_AI/UCI_OPTICAL_RECOGNITION/out/production/UCI_OPTICAL_RECOGNITION Main
Starting data loading...
Images Train size: 2810
Images Test size: 2810
Success rate after round 185: 0.91352314
Success rate after round 186: 0.91352314
Success rate after round 187: 0.9142349
Success rate after round 188: 0.9124555
Success rate after round 189: 0.9153025
Success rate after round 190: 0.9145908
Success rate after round 191: 0.9142349
Success rate after round 192: 0.91174376
Success rate after round 193: 0.916726
Success rate after round 194: 0.91565835
Success rate after round 195: 0.91708183
Success rate after round 196: 0.9153025
Success rate after round 197: 0.9145908
Success rate after round 198: 0.9153025
Success rate after round 199: 0.9149466

Process finished with exit code 0
